"id","rated","turns","victory_status","winner","increment_code","white_rating","black_rating","opening_eco","opening_name","opening_ply","base_minutes"
"kWKvrqYL","TRUE",61,"mate","white","20+0",1439,1454,"D02","Queen's Pawn Game: Zukertort Variation",3,20
"qwU9rasv","TRUE",33,"resign","white","10+0",1520,1423,"D00","Blackmar-Diemer Gambit: Pietrowsky Defense",10,10
"dwF3DJHO","TRUE",66,"resign","black","15+0",1439,1392,"C50","Italian Game: Schilling-Kostic Gambit",6,15
"afoMwnLg","TRUE",119,"mate","white","10+0",1381,1209,"B01","Scandinavian Defense: Mieses-Kotroc Variation",4,10
"UhXXBOMY","TRUE",36,"resign","white","10+0",1307,1106,"A25","English Opening: King's English Variation |  Reversed Closed Sicilian",4,10
"mCij4hBq","TRUE",13,"resign","black","10+0",1113,1423,"B21","Sicilian Defense: Smith-Morra Gambit #2",3,10
"ifUMWtVj","TRUE",69,"mate","white","10+10",1078,1219,"D01","Queen's Pawn Game: Chigorin Variation",4,10
"Wf0zuLQQ","TRUE",43,"resign","white","10+10",1825,1079,"C45","Scotch Game: Haxo Gambit",8,10
"srz9QfSN","TRUE",54,"mate","black","10+10",1328,1038,"D01","Queen's Pawn Game: Chigorin Variation",4,10
"NS6ccssb","TRUE",53,"resign","black","10+10",1056,1156,"D10","Slav Defense",4,10
"M3vpf2Ki","TRUE",66,"mate","black","10+10",1077,1148,"D06","Queen's Gambit Refused: Marshall Defense",4,10
"fXhNOnOn","TRUE",64,"resign","black","10+10",1358,1036,"B21","Sicilian Defense: Smith-Morra Gambit #2",3,10
"DiCTkvZH","TRUE",64,"mate","black","10+10",1200,1002,"B52","Sicilian Defense: Canal Attack |  Main Line",6,10
"FSkgvV2E","TRUE",54,"resign","white","10+10",1203,1019,"B27","Sicilian Defense",3,10
"lHNM8cl5","TRUE",19,"resign","black","10+0",976,1832,"B06","Robatsch (Modern) Defense",4,10
"GfeEgLV3","TRUE",28,"resign","white","10+0",1569,978,"D00","Blackmar-Diemer Gambit: Tartakower Variation",10,10
"PBS4FEld","TRUE",8,"resign","white","16+0",1521,1162,"A04","Zukertort Opening: Ross Gambit",2,16
"O3wdIwg7","TRUE",28,"resign","white","10+0",1492,1458,"C26","Vienna Game: Mengarini Variation",5,10
"48ktrxLp","TRUE",30,"resign","black","10+0",1414,1442,"C41","Philidor Defense: Larsen Variation",8,10
"i2GBGO0R","TRUE",44,"resign","black","10+0",1457,1294,"C44","Scotch Game",5,10
"QZSTu1aT","TRUE",29,"resign","white","10+0",1525,1466,"C41","Philidor Defense: Lopez Countergambit",6,10
"9tU9MM6P","TRUE",37,"resign","black","8+10",1207,1579,"C00","French Defense: Knight Variation",3,8
"ztpC1S2c","TRUE",49,"resign","white","8+12",1567,1573,"A40","Modern Defense",2,8
"qc8aH5XL","TRUE",32,"resign","black","8+12",1578,1605,"A40","Horwitz Defense",2,8
"6sTz6t7D","TRUE",25,"resign","white","8+12",1939,1581,"E10","Blumenfeld Countergambit #2",6,8
"6QAiH2Yy","TRUE",57,"resign","white","15+10",1561,1596,"A45","Indian Game",2,15
"nG3Of11I","TRUE",61,"resign","white","15+5",1544,1461,"D00","Queen's Pawn Game: Mason Attack",3,15
"cUzM68JF","TRUE",44,"resign","black","20+5",1563,1335,"D00","Queen's Pawn Game: Mason Attack",3,20
"NZSBXWl2","TRUE",62,"mate","black","20+5",1579,1470,"A41","Queen's Pawn",2,20
"DHuXFP6C","TRUE",87,"mate","white","20+5",1617,1590,"A45","Indian Game",2,20
"00R4UOcU","TRUE",54,"mate","black","20+5",1207,1588,"C02","French Defense: Advance |  Steinitz Variation",7,20
"IN15cBnB","TRUE",54,"resign","black","15+5",1595,1547,"D00","Queen's Pawn Game: Mason Attack",3,15
"WYOts2ME","TRUE",37,"resign","white","15+5",1855,1599,"C01","French Defense: Exchange Variation",5,15
