rating_bucket,opening_name,games_played,avg_scorepercent,score_stddev,p_value,significant
800-1199,Scandinavian Defense,45,46.67%,0.49,0.766,No
800-1199,Queen's Pawn Game: Chigorin Variation,21,40.48%,0.49,0.3833,No
800-1199,King's Pawn Game: Wayward Queen Attack,26,38.46%,0.48,0.3269,No
800-1199,Van't Kruijs Opening,53,18.87%,0.38,0.0,Yes
1200-1599,French Defense: Advance Variation #3,20,75.0%,0.44,0.0414,Yes
1200-1599,Bishop's Opening: Berlin Defense,34,73.53%,0.43,0.009,Yes
1200-1599,French Defense: Normal Variation,44,70.45%,0.45,0.0096,Yes
1200-1599,Center Game #2,22,63.64%,0.49,0.2863,No
1200-1599,Pirc Defense #4,37,63.51%,0.47,0.1877,No
1200-1599,Russian Game: Three Knights Game,30,63.33%,0.49,0.2005,No
1200-1599,Horwitz Defense,58,62.93%,0.48,0.0869,No
1200-1599,French Defense #2,36,62.5%,0.48,0.243,No
1200-1599,Queen's Gambit Refused: Marshall Defense,29,62.07%,0.49,0.2649,No
1200-1599,Owen Defense,39,61.54%,0.48,0.1996,No
1200-1599,Four Knights Game: Italian Variation,60,60.83%,0.49,0.155,No
1200-1599,Bishop's Opening,50,60.0%,0.48,0.2026,No
1200-1599,King's Knight Opening,31,59.68%,0.49,0.281,No
1200-1599,Philidor Defense #3,63,58.73%,0.49,0.2074,No
1200-1599,King's Pawn Game: Damiano Defense,43,58.14%,0.49,0.3604,No
1200-1599,Queen's Pawn,31,58.06%,0.48,0.4731,No
1200-1599,Scandinavian Defense: Mieses-Kotroc Variation,87,58.05%,0.49,0.1329,No
1200-1599,King's Knight Opening: Normal Variation,38,57.89%,0.49,0.4177,No
1200-1599,English Opening: King's English Variation,31,56.45%,0.5,0.7201,No
1200-1599,Philidor Defense,47,55.32%,0.48,0.5601,No
1200-1599,Sicilian Defense: Smith-Morra Gambit #2,48,54.17%,0.48,0.6655,No
1200-1599,Italian Game,36,54.17%,0.47,0.6177,No
1200-1599,Scandinavian Defense: Main Line,25,54.0%,0.5,0.69,No
1200-1599,Queen's Pawn Game: Mason Attack,65,53.85%,0.49,0.6201,No
1200-1599,Three Knights Opening,30,53.33%,0.49,0.8555,No
1200-1599,French Defense: Steinitz Attack,24,52.08%,0.48,1.0,No
1200-1599,Russian Game: Urusov Gambit,24,52.08%,0.5,1.0,No
1200-1599,French Defense: Knight Variation,96,51.56%,0.49,0.7596,No
1200-1599,King's Pawn Game: Leonardis Variation,50,51.0%,0.5,0.8877,No
1200-1599,Queen's Pawn Game #2,41,50.0%,0.5,1.0,No
1200-1599,Queen's Gambit Declined,42,50.0%,0.51,1.0,No
