rating_bucket,opening_name,games_played,avg_scorepercent_display
800-1199,Scandinavian Defense,45,46.67%
800-1199,Queen's Pawn Game: Chigorin Variation,21,40.48%
800-1199,King's Pawn Game: Wayward Queen Attack,26,38.46%
800-1199,Van't Kruijs Opening,53,18.87%
1200-1599,French Defense: Advance Variation #3,20,75.00%
1200-1599,Bishop's Opening: Berlin Defense,34,73.53%
1200-1599,French Defense: Normal Variation,44,70.45%
1200-1599,Center Game #2,22,63.64%
1200-1599,Pirc Defense #4,37,63.51%
1200-1599,Russian Game: Three Knights Game,30,63.33%
1200-1599,Horwitz Defense,58,62.93%
1200-1599,French Defense #2,36,62.50%
1200-1599,Queen's Gambit Refused: Marshall Defense,29,62.07%
1200-1599,Owen Defense,39,61.54%
1200-1599,Four Knights Game: Italian Variation,60,60.83%
1200-1599,Bishop's Opening,50,60.00%
1200-1599,King's Knight Opening,31,59.68%
1200-1599,Philidor Defense #3,63,58.73%
1200-1599,King's Pawn Game: Damiano Defense,43,58.14%
1200-1599,Queen's Pawn,31,58.06%
1200-1599,Scandinavian Defense: Mieses-Kotroc Variation,87,58.05%
1200-1599,King's Knight Opening: Normal Variation,38,57.89%
1200-1599,English Opening: King's English Variation,31,56.45%
1200-1599,Philidor Defense,47,55.32%
1200-1599,Sicilian Defense: Smith-Morra Gambit #2,48,54.17%
1200-1599,Italian Game,36,54.17%
1200-1599,Scandinavian Defense: Main Line,25,54.00%
1200-1599,Queen's Pawn Game: Mason Attack,65,53.85%
1200-1599,Three Knights Opening,30,53.33%
1200-1599,French Defense: Steinitz Attack,24,52.08%
1200-1599,Russian Game: Urusov Gambit,24,52.08%
1200-1599,French Defense: Knight Variation,96,51.56%
1200-1599,King's Pawn Game: Leonardis Variation,50,51.00%
1200-1599,Queen's Pawn Game #2,41,50.00%
1200-1599,Queen's Gambit Declined,42,50.00%
1200-1599,Italian Game: Two Knights Defense |  Knight Attack |  Normal Variation,20,50.00%
1200-1599,King's Pawn Game: McConnell Defense,31,50.00%
1200-1599,King's Pawn Game: Napoleon Attack,25,50.00%
1200-1599,Sicilian Defense: Staunton-Cochrane Variation,22,50.00%
1200-1599,Scotch Game,106,49.06%
1200-1599,Italian Game: Anti-Fried Liver Defense,66,48.48%
1200-1599,Philidor Defense #2,86,48.26%
1200-1599,Queen's Pawn Game: Zukertort Variation,23,47.83%
1200-1599,Ruy Lopez: Exchange Variation,20,47.50%
1200-1599,Hungarian Opening,46,46.74%
1200-1599,Caro-Kann Defense,65,45.38%
1200-1599,King's Pawn Game: Wayward Queen Attack,71,45.07%
1200-1599,Sicilian Defense: Bowdler Attack,110,45.00%
1200-1599,Sicilian Defense: Old Sicilian,52,43.27%
1200-1599,Sicilian Defense,121,42.98%
1200-1599,English Opening: The Whale,21,42.86%
1200-1599,Sicilian Defense: Closed Variation,20,42.50%
1200-1599,Queen's Pawn Game: Chigorin Variation,73,42.47%
1200-1599,Bird Opening,26,42.31%
1200-1599,Ruy Lopez: Steinitz Defense,39,42.31%
1200-1599,Modern Defense,48,41.67%
1200-1599,Ruy Lopez: Berlin Defense #2,30,41.67%
1200-1599,Indian Game,29,41.38%
1200-1599,Italian Game: Two Knights Defense |  Modern Bishop's Opening,21,40.48%
1200-1599,Scandinavian Defense,68,39.71%
1200-1599,Giuoco Piano,33,39.39%
1200-1599,Queen's Gambit Accepted: Old Variation,28,35.71%
1200-1599,Mieses Opening,33,34.85%
1200-1599,Sicilian Defense: Alapin Variation,23,34.78%
1200-1599,Queen's Pawn Game,48,34.38%
1200-1599,Van't Kruijs Opening,105,34.29%
1600-1799,Scandinavian Defense: Mieses-Kotroc Variation,35,77.14%
1600-1799,Queen's Gambit Refused: Marshall Defense,31,72.58%
1600-1799,Philidor Defense #3,29,70.69%
1600-1799,Italian Game,20,70.00%
1600-1799,Pirc Defense #4,20,70.00%
1600-1799,Italian Game: Anti-Fried Liver Defense,34,69.12%
1600-1799,Queen's Gambit Accepted: Old Variation,37,68.92%
1600-1799,Queen's Pawn,22,68.18%
1600-1799,Scotch Game,27,66.67%
1600-1799,French Defense: Exchange Variation,29,62.07%
1600-1799,Caro-Kann Defense,37,60.81%
1600-1799,French Defense: Normal Variation,20,60.00%
1600-1799,Queen's Pawn Game: Chigorin Variation,29,58.62%
1600-1799,Giuoco Piano,22,54.55%
1600-1799,Sicilian Defense,51,52.94%
1600-1799,King's Pawn Game: McConnell Defense,21,52.38%
1600-1799,French Defense: Knight Variation,60,50.00%
1600-1799,Horwitz Defense,32,50.00%
1600-1799,Sicilian Defense: Old Sicilian,29,48.28%
1600-1799,Owen Defense,20,42.50%
1600-1799,Van't Kruijs Opening,25,42.00%
1600-1799,Queen's Pawn Game: Mason Attack,30,38.33%
1600-1799,Sicilian Defense: Bowdler Attack,59,37.29%
1600-1799,Indian Game,29,34.48%
1800-1999,Scandinavian Defense: Mieses-Kotroc Variation,21,71.43%
1800-1999,Modern Defense,23,69.57%
1800-1999,French Defense: Knight Variation,25,66.00%
1800-1999,Horwitz Defense,32,60.94%
1800-1999,Sicilian Defense,33,56.06%
1800-1999,French Defense: Exchange Variation,26,55.77%
1800-1999,Queen's Pawn Game: Mason Attack,37,51.35%
1800-1999,Indian Game,27,48.15%
1800-1999,Sicilian Defense: Bowdler Attack,27,44.44%
1800-1999,Sicilian Defense: Old Sicilian,30,30.00%
